sampling_method,model,summary,HARS,NoSampling,Balance,[14]
ClusterCentroids,rf,std,0.244401901995283,0.294340517270588,0.248739104301913,
ClusterCentroids,svmlinear,mean,0.431770555442978,0.235119772386355,0.43645210009159,
ClusterCentroids,svmlinear,median,0.434085332979554,0.070582074306037,0.472478023253465,
ClusterCentroids,svmlinear,std,0.21273828763644,0.281211587761494,0.222122655227263,
ClusterCentroids,svmrbf,mean,0.435691466879847,0.24431184167214,0.431669565593215,
ClusterCentroids,svmrbf,median,0.49920567723694,0.0630127173160914,0.447360010323679,
ClusterCentroids,svmrbf,std,0.213070008266717,0.281559743352674,0.215205547053248,
ClusterCentroids,lr,mean,0.468014720833522,0.35319893005705,0.434524590385567,
ClusterCentroids,lr,median,0.545128564171168,0.368490537821425,0.482162903403944,
ClusterCentroids,lr,std,0.203526428888434,0.254894091989131,0.228820777373449,
RandomUnderSampler,xgboost,mean,0.484958403212316,0.480354841781338,0.451943843424576,
RandomUnderSampler,xgboost,median,0.550941441803612,0.515346676665597,0.551510568312199,
RandomUnderSampler,xgboost,std,0.243876485848664,0.250263744467734,0.247677651714299,
RandomUnderSampler,mlp,mean,0.462673374784113,0.440461717960469,0.422413295324552,
RandomUnderSampler,mlp,median,0.517555480647765,0.459417159267484,0.500014451435155,
RandomUnderSampler,mlp,std,0.216800687597814,0.245467019286614,0.235933462868993,
RandomUnderSampler,knn,mean,0.441206581567309,0.343859572838809,0.413037048697351,
RandomUnderSampler,knn,median,0.518292999212878,0.407754266896012,0.507221263241633,
RandomUnderSampler,knn,std,0.217834876528127,0.276529258700016,0.218795625039374,
RandomUnderSampler,dt,mean,0.455225141200313,0.474381136602911,0.420678205481878,
RandomUnderSampler,dt,median,0.512486215255848,0.491009845455803,0.515276023156264,
RandomUnderSampler,dt,std,0.221436807574072,0.208614987256515,0.231337650179527,
RandomUnderSampler,rf,mean,0.505552584012324,0.399425886203362,0.468330423014122,
RandomUnderSampler,rf,median,0.557589421365415,0.451282002032694,0.559604408277963,
RandomUnderSampler,rf,std,0.23058819377313,0.294340517270588,0.249709419090527,
RandomUnderSampler,svmlinear,mean,0.422300021318866,0.235119772386355,0.439511771312545,
RandomUnderSampler,svmlinear,median,0.448905156000581,0.070582074306037,0.523075231683935,
