sampling_method,model,summary,HARS,Balance,[14]
RandomOverSampler,all_models,std,0.0647972559762325,0.0599946745365327,0.0582458596817722
SMOTETomek,all_models,mean,0.953792322311029,0.957009956445567,
SMOTETomek,all_models,median,0.978373473996364,0.981268440573285,
SMOTETomek,all_models,std,0.0647972559762325,0.0588995665493838,
ClusterCentroids,all_models,mean,0.953792322311029,0.906930284741162,
ClusterCentroids,all_models,median,0.978373473996364,0.947300496453625,
ClusterCentroids,all_models,std,0.0647972559762325,0.127162929217692,
RandomUnderSampler,all_models,mean,0.953792322311029,0.899377080576963,
RandomUnderSampler,all_models,median,0.978373473996364,0.935588145158228,
RandomUnderSampler,all_models,std,0.0647972559762325,0.112984716074823,
